run_id,game_name,opponent,opponent_race,map,outcome,scbw_exit_code,launched_at,finished_at,game_time_sec,jar_version,git_rev,frozen,telemetry_flag,telemetry_status,plan_flag,result_winner,result_is_crashed,result_realtime_outed,score_self_is_winner,score_self_building,score_self_kill,score_self_razing,score_self_unit,score_opp_is_winner,score_opp_building,score_opp_kill,score_opp_razing,score_opp_unit,econ_samples,econ_last_frame,econ_minerals_gathered,econ_minerals_spent,econ_gas_gathered,econ_gas_spent,econ_supply_used_peak,econ_supply_total_peak,econ_frame_time_avg,econ_frame_time_max,record_timestamp,record_is_winner,record_num_starting_locations,record_opener,record_build_order,record_detected_strategies,record_frame_count,observed_game_id,observed_build_order,observed_is_winner,observed_end_frame,observed_average_fps,observed_engagement_count,observed_our_units_lost,observed_our_supply_lost,observed_enemy_units_killed,observed_enemy_supply_killed,observed_enemy_destroyed,observed_sample_interval_frames,observed_contact_radius_px,observed_merge_radius_px,observed_close_cooldown_frames,truth_self_created,truth_self_destroyed,truth_self_events,truth_opp_created,truth_opp_destroyed,truth_opp_types,truth_opp_events,truth_opp_last_frame,plan_events,plan_enqueued,plan_transitions,plan_completed,plan_cancelled,plan_units,plan_buildings,plan_tech,plan_upgrades,plan_queue_depth_peak,plan_last_frame,learn_opener,learn_build_order,learn_detected_strategies,learn_is_winner,learn_frame_count
20260904-031526,KU4HQ08D,VOID,Terran,(4)EmpireoftheSun.scm,LOSS,0,2026-09-04T03:20:29,2026-09-04T03:25:32,301.8,0.63,6e32a9d,False,True,ok,True,VOID,False,False,False,3680,16900,150,20950,True,4815,37970,11040,20625,1375,33000,18746,18725,6480,5700,135,150,3.295,9568.0,1788517526243,false,4,12Hatch,CrazyZerg,1Base,33017,67ef1f89-1c78-4d9a-bc4a-0c2fbcd3484b,CrazyZerg,0,33017,177.3104,45,246,362,119,242,130,8,320,512,240,110,323,5948,357,131,21,4096,33018,2624,366,2258,255,95,281,70,0,15,38,33017,12Hatch,CrazyZerg,1Base,false,33017
20260904-031526,KU4HQ047,Ecgberht,Terran,(4)LaMancha1.1.scx,LOSS,0,2026-09-04T03:21:03,2026-09-04T03:24:50,226.2,0.63,6e32a9d,False,True,ok,True,Ecgberht,False,False,False,1305,3500,0,6325,True,2480,13300,3915,7275,661,15864,7466,7000,2120,1775,67,102,3.279,7895.0,1788517480598,false,4,12Hatch,3HatchLurker,1Base,15874,7f020f75-ddcf-4082-918e-22251ec99268,3HatchLurker,0,15874,228.2423,11,61,80,22,44,22,8,320,512,240,29,105,1255,141,24,16,1314,15895,1036,168,868,100,52,140,24,1,3,50,15874,12Hatch,3HatchLurker,1Base,false,15874
20260904-031526,KU4HQ01F,MadMixR,Random,(4)Icarus.scm,LOSS,0,2026-09-04T03:21:08,2026-09-04T03:26:02,292.4,0.63,6e32a9d,False,True,ok,True,MadMixR,False,False,False,2425,18900,4500,17650,True,5340,24130,7275,23150,1222,29328,16010,15675,5616,5125,134,166,3.239,9574.0,1788517553405,false,4,Overpool,CrazyZerg,1Base,29328,15f896d0-82c0-4b17-ab32-ae2f88be6584,CrazyZerg,0,29328,234.3727,54,224,278,129,314,142,8,320,512,240,100,275,3452,209,143,22,3040,29352,3834,317,3517,222,79,257,46,0,14,44,29328,Overpool,CrazyZerg,1Base,false,29328
20260904-031526,KU4HQ05L,WillBot,Random,(4)Andromeda.scx,WIN,0,2026-09-04T03:21:11,2026-09-04T03:29:00,467.8,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,4985,55350,10770,101075,False,4990,164100,0,35575,1990,47760,64629,62300,27202,25800,303,384,4.839,11873.0,1788517730791,true,4,Overpool,CrazyZerg,2RaxAcademy;1Base,47773,f035592e-2ef0-4408-a3d1-dd2891e04207,CrazyZerg,1,47773,86.5463,44,1125,1821,339,728,551,8,320,512,240,524,1095,19676,558,535,23,9930,47700,7362,1195,6167,837,416,779,55,347,14,40,47527,Overpool,CrazyZerg,2RaxAcademy;1Base,true,47773
20260904-031526,KU4HQ02U,liongis,Zerg,(3)TauCross.scx,LOSS,0,2026-09-04T03:22:40,2026-09-04T03:25:43,181.1,0.63,6e32a9d,False,True,ok,True,liongis,False,False,False,375,650,0,1400,True,1160,1500,1125,2000,348,8352,1434,1350,0,0,28,50,4.269,8199.0,1788517532949,false,3,4Pool,4Pool,,8372,b9d5b9a5-944b-41d7-87e5-b674998145e7,4Pool,0,8372,164.4213,6,22,22,13,13,13,8,320,512,240,23,28,604,27,14,8,604,8373,228,55,173,22,37,31,24,0,0,11,8372,4Pool,4Pool,,false,8372
20260904-031526,KU4HQ070,Tomas Cere,Protoss,(2)Benzene.scx,WIN,0,2026-09-04T03:22:49,2026-09-04T03:26:07,196.4,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,6700,6150,2250,False,2050,1850,0,3350,586,14064,2738,2200,0,0,41,50,2.987,8212.0,1788517559515,true,2,4Pool,4Pool,1Base,14076,c574ea1c-da10-49cc-a70f-a7ddc2c008f2,4Pool,1,14076,217.8143,15,39,39,54,134,68,8,320,512,240,40,37,688,69,69,11,623,14030,266,46,220,39,0,45,1,0,0,7,14076,4Pool,4Pool,1Base,true,14076
20260904-031526,KU4HQ002,Dave Churchill,Random,(2)HeartbreakRidge.scx,LOSS,0,2026-09-04T03:23:13,2026-09-04T03:26:31,196.5,0.63,6e32a9d,False,True,ok,True,Dave Churchill,False,False,False,1175,1400,0,2550,True,1640,4325,3645,3900,514,12336,4162,3900,0,0,45,68,3.147,8153.0,1788517582752,false,2,Overpool,CrazyZerg,1Base;EarlyRush,12340,7f1eb592-c5d8-49a1-ab83-4c244952bac7,CrazyZerg,0,12340,200.6982,15,49,49,14,28,27,8,320,512,240,31,77,778,101,14,6,844,12354,8683,2658,6025,60,3006,2625,33,0,0,42,12340,Overpool,CrazyZerg,1Base;EarlyRush,false,12340
20260904-031526,KU4HQ048,Ecgberht,Terran,(4)Python.scx,LOSS,0,2026-09-04T03:24:50,2026-09-04T03:28:26,214.2,0.63,6e32a9d,False,True,ok,True,Ecgberht,False,False,False,1725,7350,0,9125,True,3855,17200,6975,11450,820,19680,9914,9900,2000,1850,78,102,2.248,7159.0,1788517696794,false,4,12Hatch,3HatchLurker,1Base,19687,f43ac200-417e-4fd8-800b-140be6892de2,3HatchLurker,0,19687,173.2240,14,85,121,45,90,47,8,320,512,240,36,146,1981,216,48,20,1799,19701,2413,227,2186,140,70,193,26,1,7,41,19687,12Hatch,3HatchLurker,1Base,false,19687
20260904-031526,KU4HQ08E,VOID,Terran,(4)FightingSpirit.scx,WIN,0,2026-09-04T03:25:32,2026-09-04T03:30:00,266.2,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,2430,24500,11145,22500,False,3515,18700,0,12125,1138,27312,20574,19350,8200,6975,222,278,3.081,7910.0,1788517787787,true,4,12Hatch,CrazyZerg,2RaxAcademy;1Base,27313,ded34fe6-129c-49cd-8071-915478bc17b5,CrazyZerg,1,27313,202.3934,15,174,249,190,388,240,8,320,512,240,102,161,3675,241,237,18,2520,27258,2194,253,1941,235,12,208,34,0,11,31,27313,12Hatch,CrazyZerg,2RaxAcademy;1Base,true,27313
20260904-031526,KU4HQ02V,liongis,Zerg,(4)Andromeda.scx,LOSS,0,2026-09-04T03:25:43,2026-09-04T03:28:58,193.3,0.63,6e32a9d,False,True,ok,True,liongis,False,False,False,1000,750,0,2600,True,1340,3750,3000,3200,432,10368,3498,3450,368,100,43,68,3.578,9801.0,1788517730098,false,4,Overpool,SpeedlingAllIn,1Base;Hydralisk,10387,01801e5b-31f8-4d07-970f-6bce5c2bedf6,SpeedlingAllIn,0,10387,179.3994,5,57,57,15,15,15,8,320,512,240,35,69,1099,35,16,9,977,10411,370,66,304,52,7,59,6,0,1,13,10387,Overpool,SpeedlingAllIn,1Base;Hydralisk,false,10387
